iter	Passed	Remaining
666	5981	2986
667	5990	2977
668	5998	2967
669	6006	2958
670	6013	2948
671	6022	2939
672	6029	2929
673	6038	2920
674	6045	2910
675	6053	2901
676	6061	2891
677	6069	2882
678	6077	2873
679	6085	2863
680	6093	2854
681	6101	2845
682	6109	2835
683	6118	2826
684	6125	2817
685	6134	2807
686	6142	2798
687	6150	2789
688	6158	2779
689	6167	2770
690	6174	2761
691	6183	2751
692	6190	2742
693	6199	2733
694	6206	2723
695	6215	2714
696	6222	2705
697	6231	2695
698	6238	2686
699	6247	2677
700	6255	2668
701	6263	2658
702	6270	2649
703	6279	2640
704	6286	2630
705	6294	2621
706	6302	2611
707	6310	2602
708	6318	2593
709	6326	2584
710	6334	2574
711	6361	2573
712	6387	2571
713	6403	2564
714	6414	2556
715	6426	2548
716	6435	2540
717	6444	2531
718	6452	2521
719	6460	2512
720	6468	2503
721	6477	2494
722	6485	2484
723	6493	2475
724	6501	2465
725	6509	2456
726	6517	2447
727	6525	2438
728	6533	2428
729	6541	2419
730	6548	2409
731	6556	2400
732	6564	2391
733	6571	2381
734	6579	2372
735	6587	2362
736	6595	2353
737	6603	2344
738	6611	2335
739	6619	2325
740	6627	2316
741	6635	2307
742	6644	2298
743	6653	2289
744	6662	2280
745	6670	2271
746	6678	2262
747	6686	2252
748	6694	2243
749	6701	2233
750	6709	2224
751	6717	2215
752	6725	2206
753	6732	2196
754	6741	2187
755	6748	2178
756	6757	2169
757	6764	2159
758	6772	2150
759	6781	2141
760	6790	2132
761	6797	2123
762	6806	2114
763	6814	2104
764	6822	2095
765	6830	2086
766	6839	2077
767	6847	2068
768	6855	2059
769	6863	2050
770	6872	2041
771	6879	2031
772	6888	2022
773	6895	2013
774	6903	2004
775	6911	1995
776	6919	1986
777	6927	1976
778	6935	1967
779	6943	1958
780	6951	1949
781	6958	1939
782	6966	1930
783	6974	1921
784	6983	1912
785	6991	1903
786	6999	1894
787	7007	1885
788	7014	1875
789	7022	1866
790	7030	1857
791	7038	1848
792	7045	1839
793	7054	1830
794	7061	1820
795	7070	1811
796	7077	1802
797	7086	1793
798	7094	1784
799	7102	1775
800	7110	1766
801	7118	1757
802	7126	1748
803	7134	1739
804	7142	1730
805	7151	1721
806	7159	1712
807	7168	1703
808	7176	1694
809	7184	1685
810	7192	1676
811	7200	1667
812	7208	1657
813	7216	1649
814	7224	1639
815	7233	1630
816	7240	1621
817	7249	1612
818	7257	1603
819	7265	1594
820	7273	1585
821	7281	1576
822	7289	1567
823	7297	1558
824	7305	1549
825	7314	1540
826	7321	1531
827	7330	1522
828	7338	1513
829	7346	1504
830	7354	1495
831	7362	1486
832	7369	1477
833	7378	1468
834	7385	1459
835	7393	1450
836	7401	1441
837	7409	1432
838	7416	1423
839	7424	1414
840	7433	1405
841	7440	1396
842	7448	1387
843	7456	1378
844	7464	1369
845	7472	1360
846	7481	1351
847	7489	1342
848	7497	1333
849	7504	1324
850	7512	1315
851	7520	1306
852	7529	1297
853	7536	1288
854	7545	1279
855	7554	1270
856	7562	1261
857	7570	1252
858	7578	1243
859	7585	1234
860	7594	1226
861	7602	1217
862	7610	1208
863	7618	1199
864	7626	1190
865	7634	1181
866	7644	1172
867	7653	1163
868	7661	1155
869	7669	1146
870	7677	1137
871	7685	1128
872	7694	1119
873	7703	1110
874	7711	1101
875	7719	1092
876	7727	1083
877	7735	1074
878	7743	1065
879	7751	1056
880	7759	1048
881	7767	1039
882	7775	1030
883	7782	1021
884	7791	1012
885	7799	1003
886	7807	994
887	7815	985
888	7823	976
889	7831	967
890	7839	959
891	7847	950
892	7855	941
893	7862	932
894	7870	923
895	7878	914
896	7886	905
897	7894	896
898	7902	887
899	7910	878
900	7918	870
901	7925	861
902	7933	852
903	7941	843
904	7949	834
905	7959	825
906	7968	817
907	7975	808
908	7984	799
909	7992	790
910	8000	781
911	8008	772
912	8017	763
913	8025	755
914	8034	746
915	8041	737
916	8050	728
917	8058	719
918	8066	710
919	8073	702
920	8082	693
921	8090	684
922	8098	675
923	8106	666
924	8115	657
925	8122	649
926	8130	640
927	8138	631
928	8146	622
929	8154	613
930	8161	604
931	8169	596
932	8177	587
933	8185	578
934	8192	569
935	8218	561
936	8226	553
937	8235	544
938	8243	535
939	8251	526
940	8259	517
941	8268	509
942	8275	500
943	8284	491
944	8291	482
945	8300	473
946	8307	464
947	8316	456
948	8324	447
949	8332	438
950	8339	429
951	8349	420
952	8357	412
953	8365	403
954	8373	394
955	8382	385
956	8390	376
957	8398	368
958	8406	359
959	8414	350
960	8421	341
961	8430	333
962	8437	324
963	8446	315
964	8453	306
965	8462	297
966	8470	289
967	8478	280
968	8486	271
969	8494	262
970	8502	253
971	8510	245
972	8518	236
973	8527	227
974	8534	218
975	8543	210
976	8551	201
977	8559	192
978	8567	183
979	8575	175
980	8583	166
981	8592	157
982	8599	148
983	8608	139
984	8616	131
985	8625	122
986	8634	113
987	8642	104
988	8650	96
989	8658	87
990	8666	78
991	8675	69
992	8683	61
993	8692	52
994	8700	43
995	8708	34
996	8716	26
997	8724	17
998	8732	8
999	8741	0
